week,department,sub_department,sku,product,gt_price,gt_regular_price,cost,promo_flag,units,walmart_price,nofrills_price,dollarama_price
2024-01-01,Grocery,Cereal,SKU1001,Corn Flakes,14.56,14.56,9.42,0,124,13.5,13.93,13.83
2024-01-08,Grocery,Cereal,SKU1001,Corn Flakes,11.54,14.81,9.44,1,383,14.9,14.76,13.44
2024-01-15,Grocery,Cereal,SKU1001,Corn Flakes,13.53,15.14,9.46,1,347,14.61,14.64,13.92
2024-01-22,Grocery,Cereal,SKU1001,Corn Flakes,14.61,14.61,9.45,0,178,13.99,14.77,14.26
2024-01-29,Grocery,Cereal,SKU1001,Corn Flakes,15.1,15.1,9.47,0,156,14.2,15.13,13.83
2024-02-05,Grocery,Cereal,SKU1001,Corn Flakes,14.29,14.29,9.47,0,149,14.46,14.7,14.12
2024-02-12,Grocery,Cereal,SKU1001,Corn Flakes,14.65,14.65,9.5,0,143,14.07,15.03,13.12
2024-02-19,Grocery,Cereal,SKU1001,Corn Flakes,14.4,14.4,9.48,0,95,14.27,15.01,13.8
2024-02-26,Grocery,Cereal,SKU1001,Corn Flakes,15.06,15.06,9.49,0,38,14.66,15.08,14.53
2024-03-04,Grocery,Cereal,SKU1001,Corn Flakes,15.35,15.35,9.53,0,109,15.12,14.83,14.29
2024-03-11,Grocery,Cereal,SKU1001,Corn Flakes,14.9,14.9,9.5,0,102,14.13,14.39,13.69
2024-03-18,Grocery,Cereal,SKU1001,Corn Flakes,14.93,14.93,9.55,0,77,15.25,14.64,14.21
2024-03-25,Grocery,Cereal,SKU1001,Corn Flakes,15.06,15.06,9.54,0,164,14.65,14.41,14.34
2024-04-01,Grocery,Cereal,SKU1001,Corn Flakes,15.42,15.42,9.57,0,145,14.94,15.11,14.87
2024-04-08,Grocery,Cereal,SKU1001,Corn Flakes,15.04,15.04,9.54,0,174,14.63,14.34,14.49
2024-04-15,Grocery,Cereal,SKU1001,Corn Flakes,14.55,14.55,9.55,0,161,16.23,15.24,13.84
2024-04-22,Grocery,Cereal,SKU1001,Corn Flakes,14.9,14.9,9.56,0,106,15.4,15.14,14.23
2024-04-29,Grocery,Cereal,SKU1001,Corn Flakes,12.12,14.68,9.62,1,450,14.8,15.33,13.91
2024-05-06,Grocery,Cereal,SKU1001,Corn Flakes,15.14,15.14,9.6,0,47,15.27,15.18,14.17
2024-05-13,Grocery,Cereal,SKU1001,Corn Flakes,14.7,14.7,9.62,0,216,14.52,15.29,13.93
2024-05-20,Grocery,Cereal,SKU1001,Corn Flakes,14.67,14.67,9.64,0,205,14.93,15.58,14.22
2024-05-27,Grocery,Cereal,SKU1001,Corn Flakes,15.26,15.26,9.61,0,56,15.43,14.42,13.76
2024-06-03,Grocery,Cereal,SKU1001,Corn Flakes,14.97,14.97,9.6,0,85,14.73,15.13,13.17
2024-06-10,Grocery,Cereal,SKU1001,Corn Flakes,14.5,14.5,9.64,0,218,13.72,14.46,13.51
2024-06-17,Grocery,Cereal,SKU1001,Corn Flakes,14.05,14.05,9.64,0,257,13.97,14.32,13.57
2024-06-24,Grocery,Cereal,SKU1001,Corn Flakes,14.36,14.36,9.63,0,178,13.86,13.5,13.16
2024-07-01,Grocery,Cereal,SKU1001,Corn Flakes,14.44,14.44,9.63,0,79,13.72,14.09,13.22
2024-07-08,Grocery,Cereal,SKU1001,Corn Flakes,14.13,14.13,9.7,0,98,14.73,15.33,12.88
2024-07-15,Grocery,Cereal,SKU1001,Corn Flakes,12.44,13.66,9.68,1,83,13.95,13.75,13.15
2024-07-22,Grocery,Cereal,SKU1001,Corn Flakes,14.12,14.12,9.69,0,70,13.9,14.12,13.29
2024-07-29,Grocery,Cereal,SKU1001,Corn Flakes,14.01,14.01,9.7,0,215,14.71,14.35,13.14
2024-08-05,Grocery,Cereal,SKU1001,Corn Flakes,13.98,13.98,9.69,0,65,13.82,13.3,12.87
2024-08-12,Grocery,Cereal,SKU1001,Corn Flakes,14.05,14.05,9.7,0,130,14.34,12.79,13.06
2024-08-19,Grocery,Cereal,SKU1001,Corn Flakes,14.08,14.08,9.71,0,262,13.17,14.32,13.11
2024-08-26,Grocery,Cereal,SKU1001,Corn Flakes,14.03,14.03,9.72,0,166,14.12,13.95,13.8
2024-09-02,Grocery,Cereal,SKU1001,Corn Flakes,14.12,14.12,9.77,0,60,13.03,13.98,12.89
2024-09-09,Grocery,Cereal,SKU1001,Corn Flakes,14.13,14.13,9.72,0,91,13.18,13.59,13.75
2024-09-16,Grocery,Cereal,SKU1001,Corn Flakes,13.28,13.28,9.75,0,229,13.77,14.26,13.33
2024-09-23,Grocery,Cereal,SKU1001,Corn Flakes,14.18,14.18,9.77,0,194,13.25,13.88,12.29
2024-09-30,Grocery,Cereal,SKU1001,Corn Flakes,13.54,13.54,9.76,0,81,13.6,13.74,13.07
2024-10-07,Grocery,Cereal,SKU1001,Corn Flakes,13.55,13.55,9.79,0,138,13.45,14.25,12.64
2024-10-14,Grocery,Cereal,SKU1001,Corn Flakes,13.79,13.79,9.81,0,166,13.92,13.94,13.98
2024-10-21,Grocery,Cereal,SKU1001,Corn Flakes,13.59,13.59,9.8,0,168,12.87,13.15,12.32
2024-10-28,Grocery,Cereal,SKU1001,Corn Flakes,14.29,14.29,9.79,0,149,13.84,13.75,13.44
